(e/255)epsilon	(a/255)alpha	s	noAt acc	attack acc	noAt loss	attack loss
1/255=0.003922	1/255=0.003922	5	0.924000	0.621500	0.004474	0.029151
1/255=0.003922	2/255=0.007843	5	0.924000	0.621500	0.004474	0.029151
1/255=0.003922	4/255=0.015686	5	0.924000	0.621500	0.004474	0.029151
1/255=0.003922	8/255=0.031373	5	0.924000	0.621500	0.004474	0.029152
1/255=0.003922	16/255=0.062745	5	0.924000	0.621500	0.004474	0.029152
1/255=0.003922	32/255=0.125490	5	0.924000	0.621500	0.004474	0.029151
1/255=0.003922	64/255=0.250980	5	0.924000	0.621500	0.004474	0.029151
2/255=0.007843	1/255=0.003922	5	0.924000	0.621500	0.004474	0.029152
2/255=0.007843	2/255=0.007843	5	0.924000	0.333000	0.004474	0.072759
2/255=0.007843	4/255=0.015686	5	0.924000	0.333000	0.004474	0.072757
2/255=0.007843	8/255=0.031373	5	0.924000	0.332500	0.004474	0.072752
2/255=0.007843	16/255=0.062745	5	0.924000	0.333000	0.004474	0.072757
2/255=0.007843	32/255=0.125490	5	0.924000	0.334000	0.004474	0.072753
2/255=0.007843	64/255=0.250980	5	0.924000	0.333000	0.004474	0.072751
4/255=0.015686	1/255=0.003922	5	0.924000	0.621500	0.004474	0.029151
4/255=0.015686	2/255=0.007843	5	0.924000	0.333000	0.004474	0.072759
4/255=0.015686	4/255=0.015686	5	0.924000	0.104000	0.004474	0.152310
4/255=0.015686	8/255=0.031373	5	0.924000	0.104000	0.004474	0.152311
4/255=0.015686	16/255=0.062745	5	0.924000	0.104000	0.004474	0.152315
4/255=0.015686	32/255=0.125490	5	0.924000	0.104000	0.004474	0.152316
4/255=0.015686	64/255=0.250980	5	0.924000	0.103500	0.004474	0.152303
8/255=0.031373	1/255=0.003922	5	0.924000	0.621500	0.004474	0.029151
8/255=0.031373	2/255=0.007843	5	0.924000	0.332500	0.004474	0.072757
8/255=0.031373	4/255=0.015686	5	0.924000	0.104000	0.004474	0.152322
8/255=0.031373	8/255=0.031373	5	0.924000	0.018000	0.004474	0.250327
8/255=0.031373	16/255=0.062745	5	0.924000	0.017500	0.004474	0.250338
8/255=0.031373	32/255=0.125490	5	0.924000	0.018000	0.004474	0.250356
8/255=0.031373	64/255=0.250980	5	0.924000	0.018000	0.004474	0.250333
16/255=0.062745	1/255=0.003922	5	0.924000	0.621500	0.004474	0.029152
16/255=0.062745	2/255=0.007843	5	0.924000	0.333500	0.004474	0.072751
16/255=0.062745	4/255=0.015686	5	0.924000	0.104500	0.004474	0.152315
16/255=0.062745	8/255=0.031373	5	0.924000	0.017500	0.004474	0.250319
16/255=0.062745	16/255=0.062745	5	0.924000	0.006000	0.004474	0.316877
16/255=0.062745	32/255=0.125490	5	0.924000	0.006000	0.004474	0.317125
16/255=0.062745	64/255=0.250980	5	0.924000	0.006000	0.004474	0.317008
32/255=0.125490	1/255=0.003922	5	0.924000	0.621500	0.004474	0.029151
32/255=0.125490	2/255=0.007843	5	0.924000	0.333500	0.004474	0.072757
32/255=0.125490	4/255=0.015686	5	0.924000	0.104500	0.004474	0.152309
32/255=0.125490	8/255=0.031373	5	0.924000	0.018000	0.004474	0.250411
32/255=0.125490	16/255=0.062745	5	0.924000	0.005500	0.004474	0.317004
32/255=0.125490	32/255=0.125490	5	0.924000	0.005500	0.004474	0.365594
32/255=0.125490	64/255=0.250980	5	0.924000	0.005500	0.004474	0.365536
64/255=0.250980	1/255=0.003922	5	0.924000	0.621500	0.004474	0.029152
64/255=0.250980	2/255=0.007843	5	0.924000	0.332500	0.004474	0.072752
